Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
JEK,CLADISTICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/JEK,CLADISTICS,YES,Forum papers,"Forum papers usually have as their focus a consideration of work already published in Cladistics or in other journals. These papers may be critiques, responses to critiques, clarifications, or the drawing of broader implications from some other previously published work.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,CLINICAL INFECTIOUS DISEASES,YES,Letter to the Editor / Correspondence,Letters to the Editor are intended primarily as a forum in which our readers may respond to a recently published article in CID.,"YES (provide number of words/comments below), 500 words",NOT STATED,"YES (provide number of references below), 10",NOT STATED,YES (opens another page),Comment,N/A,NOT STATED,NO,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,CLINICAL INFECTIOUS DISEASES,YES,Below the Line Comments,None.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Letters to the Editor,"Letters to the Editor are intended primarily as a forum in which our readers may respond to a recently published article in CID. Replies will be published in the same issue as the letter, and are invited at the discretion of the Editor.

Format guide:

Word limit: 500 words.
Tables/Figures: A maximum of 1 figure or table
References: 10 or less.
No subheadings.
Begin with ‘Dear Editor’","YES (provide number of words/comments below), 500 words",NOT STATED,"YES (provide number of references below), 10 or less",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/JEK,CLINICAL INFECTIOUS DISEASES,YES,Below the Line Comments,None.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Letters to the Editor,"Letters to the Editor are intended primarily as a forum in which our readers may respond to a recently published article in CID. Replies will be published in the same issue as the letter, and are invited at the discretion of the Editor.

Format guide:

Word limit: 500 words.
Tables/Figures: A maximum of 1 figure or table
References: 10 or less.
No subheadings.
Begin with ‘Dear Editor’","YES (provide number of words/comments below), 500 words",NOT STATED,"YES (provide number of references below), 10 or less",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,CLINICAL PHARMACOLOGY & THERAPEUTICS,YES,Letter to the Editor,N/A,"YES (provide number of words/comments below), 400 words","YES (provide detail of time limits below), Within 6 months of the publication of the subject article","YES (provide number of references below), 5",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,CLINICAL PHARMACOLOGY & THERAPEUTICS,YES,Letter to the editor,"Letters must be submitted within 6 months of the publication of the subject article. A letter to the editor must reference the original source, and a response to the letter must reference the letter to the editor in the first few paragraphs. Letters to the editor can use an arbitrary title, but a response must cite the title of the Letter: e.g., Response to [title of letter]","YES (provide number of words/comments below), 400","YES (provide detail of time limits below), 6 months","YES (provide number of references below), 5",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,CLINICAL PHARMACOLOGY & THERAPEUTICS,YES,Letter to the editor,CHECKED EXAMPLE: I checked an example (https://doi.org/10.1002/cpt.1713) and this article type appears to meet our definition of PPPR,"YES (provide number of words/comments below), 400","YES (provide detail of time limits below), 6 months","YES (provide number of references below), 5",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/RTT,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,Conservation Letters,YES,Correspondence,"Correspondence articles provide readers an opportunity to raise substantive issues related to articles previously published in the journal. The issues raised should be of general interest to a broad readership. Correspondence articles should be submitted within six months of the Early View publication of the article receiving comment. Correspondence articles should comprise no more than 500 words, no abstract, and no more than 6 cited references. Figures and tables will not be published, but can be included as online Supporting Information.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), six months","YES (provide number of references below), 6",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,Conservation Letters,YES,Correspondence,"Correspondence articles provide readers an opportunity to raise substantive issues related to articles previously published in the journal. The issues raised should be of general interest to a broad readership. Correspondence articles should be submitted within six months of the Early View publication of the article receiving comment. Correspondence articles should comprise no more than 500 words, no abstract, and no more than 6 cited references. Figures and tables will not be published, but can be included as online Supporting Information.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), 6 weeks","YES (provide number of references below), 6",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,Conservation Letters,YES,Correspondence,"Correspondence articles provide readers an opportunity to raise substantive issues related to articles previously published in the journal. The issues raised should be of general interest to a broad readership. Correspondence articles should be submitted within six months of the Early View publication of the article receiving comment. Correspondence articles should comprise no more than 500 words, no abstract, and no more than 6 cited references. Figures and tables will not be published, but can be included as online Supporting Information.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), 6 weeks","YES (provide number of references below), 6",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,Cryosphere,YES,Comment,"A comment and reply include discussion and commentary that address significant aspects of the original paper without (a) becoming essentially new papers, (b) delving into too much detail, or (c) becoming personal.","YES (provide number of words/comments below), UNCLEAR (provide detail below), One journal page including title, affiliations, abstract (fewer than 100 words), text, references, figures, and tables.","YES (provide detail of time limits below), Within a year from original publication","YES (provide number of references below), UNCLEAR (provide detail below), One journal page including title, affiliations, abstract (fewer than 100 words), text, references, figures, and tables.",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,Cryosphere,YES,Comments & replies,"Comments & replies are peer-reviewed, one page each (for a total of two pages), and include discussion and commentary that address significant aspects of a paper already published in the journal within the last year, without (a) becoming essentially new papers, (b) delving into too much detail, or (c) becoming personal. A comment & reply should address non-trivial points of interest to readers other than the authors of the comment and the paper being commented on. The manuscript title should start with ""Comment on"" or ""Reply to"". Please see the further guidelines on comments & replies.","YES (provide number of words/comments below), One page","YES (provide detail of time limits below), 1 year",NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,Cryosphere,YES,Comments,"Comments & replies are peer-reviewed, one page each (for a total of two pages), and include discussion and commentary that address significant aspects of a paper already published in the journal within the last year, without (a) becoming essentially new papers, (b) delving into too much detail, or (c) becoming personal. A comment & reply should address non-trivial points of interest to readers other than the authors of the comment and the paper being commented on. The manuscript title should start with ""Comment on"" or ""Reply to"". Please see the further guidelines on comments & replies.","YES (provide number of words/comments below), One page","YES (provide detail of time limits below), 1 year","YES (provide number of references below), Included in overall length limit",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,CURRENT BIOLOGY,YES,Comments,"Cell Press Commenting Guidelines
To submit a comment for a journal article, please use the space above and note the following:

We will review submitted comments within 2 business days.
This forum is intended for constructive dialog. Comments that are commercial or promotional in nature, pertain to specific medical cases, are not relevant to the article for which they have been submitted, or are otherwise inappropriate will not be posted.
We recommend that commenters identify themselves with full names and affiliations.
Comments must be in compliance with our Terms & Conditions.
Comments will not be peer-reviewed.",NOT STATED,NOT STATED,NOT STATED,NO,YES (opens another page),Correspondence,"Correspondence is a flexible format that can be used to report original findings that have broad interest and can be presented concisely, to comment on something published previously in Current Biology, or, in principle, to make any comment that is relevant to biologists if the editors judge it to be likely to interest our readers. Any original contribution will be subject to peer review. Correspondence items should be written in a clear and accessible manner. They consist of a continuous main text without any sections or subheadings. Correspondence items do not have abstracts per se, but the first paragraph of the main text will be available in Medline. It should therefore comprise a short introduction as well as a brief summary of the most important conclusions.Correspondence items must not exceed two pages of the printed journal. They should have no more than 1,000 words of main text, a maximum of 10 references, and only one display item (one figure or table). Any nonessential details and experimental procedures can be described in an online-only Supplemental Information section, in which a maximum of two further display items can also be included.","YES (provide number of words/comments below), 1000",NOT STATED,YES (provide number of references below),"YES, 10",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,CURRENT BIOLOGY,YES,Correspondence,"Correspondence is a flexible format that can be used to report original findings that have broad interest and can be presented concisely, to comment on something published previously in Current Biology, or, in principle, to make any comment that is relevant to biologists if the editors judge it to be likely to interest our readers. Any original contribution will be subject to peer review.","YES (provide number of words/comments below), 1000",NOT STATED,"YES (provide number of references below), 10",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,CURRENT BIOLOGY,YES,(Below the line) Comments,"Cell Press Commenting Guidelines
To submit a comment for a journal article, please use the space above and note the following:

We will review submitted comments within 2 business days.
This forum is intended for constructive dialog. Comments that are commercial or promotional in nature, pertain to specific medical cases, are not relevant to the article for which they have been submitted, or are otherwise inappropriate will not be posted.
We recommend that commenters identify themselves with full names and affiliations.
Comments must be in compliance with our Terms & Conditions.
Comments will not be peer-reviewed.",NOT STATED,NOT STATED,NOT STATED,NO,YES (opens another page),Correspondence,"Correspondence is a flexible format that can be used to report original findings that have broad interest and can be presented concisely, to comment on something published previously in Current Biology, or, in principle, to make any comment that is relevant to biologists if the editors judge it to be likely to interest our readers. Any original contribution will be subject to peer review. Correspondence items should be written in a clear and accessible manner. They consist of a continuous main text without any sections or subheadings. Correspondence items do not have abstracts per se, but the first paragraph of the main text will be available in Medline. It should therefore comprise a short introduction as well as a brief summary of the most important conclusions.Correspondence items must not exceed two pages of the printed journal. They should have no more than 1,000 words of main text, a maximum of 10 references, and only one display item (one figure or table). Any nonessential details and experimental procedures can be described in an online-only Supplemental Information section, in which a maximum of two further display items can also be included.","YES (provide number of words/comments below), 1000",NOT STATED,"YES (provide number of references below), 10",YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,DEVELOPMENTAL CELL,YES,"Below the line comments (""Comments"")","""A comment for a journal article""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NOT STATED,"NO, ""Comments will not be peer-reviewed.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,DEVELOPMENTAL CELL,YES,"Below the line comments (""Comments"")","""A comment for a journal article""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NOT STATED,"NO, ""Comments will not be peer-reviewed.""",YES (opens another page),Previews,"Previews highlight one or several research papers published in the same issue of Dev Cell or in a recent issue of another journal, placing the results in context for the journal’s broad readership. Previews are 1,000 words in length with no more than 10 references and one or two figures. Most Previews are commissioned, but timely unsolicited contributions will be considered.","YES (provide number of words/comments below), 1000 words","""papers published in the same issue of Dev Cell or in a recent issue of another journal""","YES (provide number of references below), no more than 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,DEVELOPMENTAL CELL,YES,"Below the line comments (""Comments"")","""A comment for a journal article""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NOT STATED,"NO, ""Comments will not be peer-reviewed.""",YES (opens another page),Previews,"Previews highlight one or several research papers published in the same issue of Dev Cell or in a recent issue of another journal, placing the results in context for the journal’s broad readership. Previews are 1,000 words in length with no more than 10 references and one or two figures. Most Previews are commissioned, but timely unsolicited contributions will be considered.","YES (provide number of words/comments below), 1000 words","""papers published in the same issue of Dev Cell or in a recent issue of another journal""","YES (provide number of references below), no more than 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,DRUGS,YES,"Letters to the Editor (""Letter to the Editor"")","""Comment on an article published recently in the journal""","YES (provide number of words/comments below), ""Word count up to 1000""",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,DRUGS,YES,Letter to the Editor,"Letter to the Editor. Word count up to 1000. Comment on an article published recently in the journal; a response to the comments would normally be sought from the authors of the original article and published in the same issue, where possible","YES (provide number of words/comments below), 1000",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/TEH,DRUGS,YES,Letter to the Editor,"Letter to the Editor. Word count up to 1000. Comment on an article published recently in the journal; a response to the comments would normally be sought from the authors of the original article and published in the same issue, where possible","YES (provide number of words/comments below), 1000",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Earth System Science Data,YES,"Commentary (""Commentaries"")","""Commentaries""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Earth System Science Data,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,Earth System Science Data,YES,"Commentary (""Commentaries"")","""Commentaries""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,ECOLOGICAL MONOGRAPHS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ECOLOGICAL MONOGRAPHS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,ECOLOGICAL MONOGRAPHS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ECOLOGY LETTERS,YES,Technical Comments,"Ecology Letters occasionally publishes Technical Comments, which represent important advances focusing on papers published over the previous 6 months in Ecology Letters.","YES (provide number of words/comments below), 800 words","YES (provide detail of time limits below), Must address articles published during the last 6 months",NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,ECOLOGY LETTERS,YES,Technical Comments + response,"must address articles published during the last 6 months in Ecology Letters. Maximum 800 words and 2 figures or tables. Text boxes are not allowed....Authors must send their Technical Comment to the authors of the original article, discuss it with them, and must indicate that this action has been taken in their cover letter. If it is confirmed that the concerns raised are not due to a misunderstanding, the Technical Comment can then be submitted to the journal. Correspondence with the authors of the original article can be provided with the submission. If the Technical Comment is accepted, the authors of the original article are asked if they would like to write a response.","YES (provide number of words/comments below), 800","YES (provide detail of time limits below), 6 months",NOT STATED,"YES, ""All Technical Comments are first reviewed by a member of our Editorial Board, and if deemed novel and of general importance, peer reviewed.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,ECOLOGY LETTERS,YES,Technical Comments,"Ecology Letters occasionally publishes Technical Comments, which represent important advances focusing on papers published over the previous 6 months in Ecology Letters....must address articles published during the last 6 months in Ecology Letters. Maximum 800 words and 2 figures or tables. Text boxes are not allowed....Authors must send their Technical Comment to the authors of the original article, discuss it with them, and must indicate that this action has been taken in their cover letter. If it is confirmed that the concerns raised are not due to a misunderstanding, the Technical Comment can then be submitted to the journal. Correspondence with the authors of the original article can be provided with the submission. If the Technical Comment is accepted, the authors of the original article are asked if they would like to write a response.","YES (provide number of words/comments below), 800","YES (provide detail of time limits below), 6 months",NOT STATED,"YES, ""All Technical Comments are first reviewed by a member of our Editorial Board, and if deemed novel and of general importance, peer reviewed.""",YES (opens another page),Comments (Below the line comments),"Ecology Letters’ commenting functionality allows readers to make immediate comment on published articles and the feature is especially encouraged for the Viewpoint articles.
All comments must be written in English and will be checked for suitability by the moderators who are Editors at the journal. The Editors expect the comments and discussion to be respectful and inclusive of other’s views, and in the case of scientific points that they be evidence-based. We will attempt to post all comments within 48 hours of submission. If you have submitted a comment which has not appeared after this time and you would like to discuss this further, please contact us.
Note that the names and other identifying information will be included with comments; though email addresses will not be included.
Once published, you will not have the right to remove or edit your response. The moderators may edit or remove responses at their discretion.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,ECONOMIC GEOGRAPHY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ECONOMIC GEOGRAPHY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,ECONOMIC GEOGRAPHY,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,eLife,YES,"Commentary (""Scientific Correspondence"")","""This format should be used for a manuscript that challenges the central findings of a paper published in eLife, and for the formal response to such a manuscript.""","YES (provide number of words/comments below), ""Full submissions and formal responses should not usually exceed 1,500 words in the main text, excluding the Materials and methods, References, and Figure legends""","YES (provide detail of time limits below), ""Scientific Correspondence must also be submitted within a year of the original eLife paper being published.""",NOT STATED,"YES, ""Once any response has been received, the Editors discuss the challenge and the response, and then decide between the following options: accept both for publication; accept the challenge but reject the response; reject both; proceed with peer review of one or both manuscripts; take another course of action.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,eLife,YES,Research Advance,"Research Advances
This format is for substantial developments that directly build upon a Research Article, Short Report or Tools and Resources article published previously by eLife. A Research Advance can be submitted by some or all of the authors of the original paper and/or researchers who were not involved in the original paper. A Research Advance might use a new technique or a different experimental design to generate results that build upon the conclusions of the original research by, for example, providing new mechanistic insights or extend the pathway under investigation. Research Advances can also report significant improvements to experimental tools and techniques.

Research Advances can be of any length, and any number of main display items, but there may only need to be minimal introductory material. Authors have flexibility in the format, for example with a combined Results and Discussion section, and there is no need for a detailed Materials and Methods section when the methods are the same as the original paper. Authors should upload a completed version of the Transparent Reporting Form (PDF; Word) to accompany their submission.

When published, Research Advances are linked to the original article, and they are indexed and citable in their own right. When the authors of the original article are not involved in the Research Advance, the corresponding author of the original study will be asked for comments during the review process. Where appropriate, the Research Advance will be considered by the same editors and reviewers who were involved in the assessment of the original paper.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Scientific Correspondence,"Scientific Correspondence
This format should be used for a manuscript that challenges the central findings of a paper published in eLife, and for the formal response to such a manuscript. In the first instance, the author must contact the corresponding author of the original eLife paper in an effort to resolve matters (and include evidence of these efforts in their initial submission). Scientific Correspondence must also be submitted within a year of the original eLife paper being published.

The title of the manuscript should be 'Comment on 'Title of original article' ', and it should be written in a measured tone; manuscripts not written in measured tone will be sent back to the authors for revision: please read this blogpost for more information.

Where possible, the initial submission is considered by the Senior Editor and the Reviewing Editor who handled the original paper (and by others if necessary). In the first instance the Editors will decide if any of the issues raised in the initial submission require a formal Correction to the original article: if a correction is required, the corresponding author of the original paper will be contacted and the Scientific Correspondence will be put on hold until the Correction has been finalized. If a Correction is published and discrepancies between the original paper and the challenge remain, the authors of the Scientific Correspondence will be asked to revise their submission accordingly.

If the Editors agree that the initial submission represents a credible challenge to the central findings of the original paper, a full submission is invited; the initial submission is also sent to the authors of the original paper and they are given 14 days to submit a formal response (which may be shared with the authors of the challenge at some stage in the process). If the initial submission does not represent a credible challenge to the original paper, it is declined.

Once any response has been received, the Editors discuss the challenge and the response, and then decide between the following options: accept both for publication; accept the challenge but reject the response; reject both; proceed with peer review of one or both manuscripts; take another course of action.

If the Editors opt for peer review, the following outcomes are possible: the challenge and the response are both accepted; the challenge is accepted but the response is rejected; the challenge is rejected (which means there is no need to publish the response). Please note the manuscripts will typically be accepted or rejected at this stage of the process; revised manuscripts will not usually be requested.

Full submissions and formal responses should not usually exceed 1,500 words in the main text, excluding the Materials and methods, References, and Figure legends, and should have no more than four main display items (figures, tables, videos). Authors should follow the format for Research Articles or Short Reports, as appropriate; the Results and/or Discussion section should contain separate subsections for each element of the challenge. Both the challenge and the response can contain original data.

While priority is given to manuscripts that challenge eLife papers, we will also consider important submissions that challenge papers published elsewhere. As described above, the author must contact the corresponding author of the original paper in an effort to resolve matters (and include evidence of these efforts in their initial submission), and the Scientific Correspondence must be submitted within a year of the original paper being published.","YES (provide number of words/comments below), 1500","YES (provide detail of time limits below), within a year of the original publication","references are included in the 1500 word limit, but no specific number of references","it may be, the editors decide",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
